Name,Tratamento,Initial_size,Capacity,SexRatio,Mortality,Brood,RpropInit,Migration,MigRprop,Rtor,rtoR,Fitnrr,FitnRr,FitnRR,Generation,Population_Size,Prop_R_Al,Prop_r_Al,Prop_rr_Geno,Prop_Rr_Geno,Prop_RR_Geno
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,0,500,0.5,0.5,0.24,0.52,0.23
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,10,406,0.53,0.47,0.21,0.5,0.29
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,20,341,0.54,0.46,0.19,0.52,0.28
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,30,318,0.6,0.4,0.18,0.44,0.38
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,40,281,0.63,0.37,0.15,0.42,0.42
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,50,300,0.62,0.38,0.15,0.49,0.37
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,60,311,0.69,0.31,0.08,0.47,0.46
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,70,316,0.65,0.35,0.12,0.45,0.42
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,80,267,0.65,0.35,0.1,0.47,0.42
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,90,273,0.73,0.27,0.07,0.4,0.53
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,100,274,0.75,0.25,0.05,0.39,0.55
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,0,500,0.5,0.5,0.23,0.53,0.23
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,10,410,0.58,0.42,0.17,0.5,0.33
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,20,296,0.63,0.37,0.11,0.53,0.36
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,30,253,0.58,0.42,0.18,0.49,0.33
Cn,Cn,500,500,0.5,10,10,0.5,0,0,0,0,1,1,1,40,255,0.6,0.4,0.15,0.47,0.37
