"","Tratamento","Fitnrr","FitnRr","FitnRR","Generation","Population_Size","Prop_R_Al","Prop_r_Al","Prop_rr_Geno","Prop_Rr_Geno","Prop_RR_Geno","RRN","RrN","rrN","Results$chisqvec","Results$pvalvec","Resultado"
"1","Cn",1,1,1,0,500,0.506666666666667,0.493333333333333,0.233333333333333,0.513333333333333,0.243333333333333,122,257,117,0.552862690300262,0.4571503539112,"H0"
"2","Cnn",1,1,1,0,500.333333333333,0.516666666666667,0.483333333333333,0.23,0.506666666666667,0.263333333333333,132,254,115,0.0743648883347021,0.785084400866084,"H0"
"3","Cn",1,1,1,10,387.666666666667,0.54,0.46,0.206666666666667,0.5,0.293333333333333,114,194,80,0.00635288543693749,0.936471890606877,"H0"
"4","Cnn",1,1,1,10,503.333333333333,0.55,0.45,0.196666666666667,0.49,0.306666666666667,154,247,99,0.00485691627268765,0.944439143961186,"H0"
"5","Cn",1,1,1,20,293.666666666667,0.573333333333333,0.426666666666667,0.17,0.51,0.316666666666667,93,150,50,0.497248104875283,0.48071178305042,"H0"
"6","Cnn",1,1,1,20,503,0.55,0.45,0.196666666666667,0.52,0.286666666666667,144,262,99,0.931074114577636,0.334583972539176,"H0"
"7","Cn",1,1,1,30,249.333333333333,0.58,0.42,0.183333333333333,0.476666666666667,0.34,85,119,46,0.0825430004745369,0.773880343549317,"H0"
"8","Cnn",1,1,1,30,502.333333333333,0.533333333333333,0.466666666666667,0.21,0.506666666666667,0.283333333333333,142,255,105,0.171860370813897,0.678463702250645,"H0"
"9","Cn",1,1,1,40,227,0.623333333333333,0.376666666666667,0.136666666666667,0.463333333333333,0.393333333333333,89,105,31,0.0125051405697514,0.910961065864013,"H0"
"10","Cnn",1,1,1,40,504.333333333333,0.563333333333333,0.436666666666667,0.196666666666667,0.476666666666667,0.323333333333333,163,240,99,0.313578415845215,0.575492582968553,"H0"
"11","Cn",1,1,1,50,225,0.61,0.39,0.166666666666667,0.456666666666667,0.38,86,103,38,0.421224954081303,0.516326448040278,"H0"
"12","Cnn",1,1,1,50,501,0.583333333333333,0.416666666666667,0.186666666666667,0.466666666666667,0.35,175,234,94,0.87622320629682,0.349238203555385,"H0"
"13","Cn",1,1,1,60,249.666666666667,0.613333333333333,0.386666666666667,0.153333333333333,0.47,0.38,95,117,38,0.0108322647341548,0.917107317384801,"H0"
"14","Cnn",1,1,1,60,501,0.58,0.42,0.18,0.47,0.346666666666667,174,235,90,0.378573345925553,0.538367748074122,"H0"
"15","Cn",1,1,1,70,245.333333333333,0.616666666666667,0.383333333333333,0.14,0.48,0.373333333333333,92,118,34,0.0846441856803136,0.771099702955151,"H0"
"16","Cnn",1,1,1,70,502.666666666667,0.593333333333333,0.406666666666667,0.186666666666667,0.44,0.376666666666667,189,221,94,3.866966967232,0.0492454387673331,"Rejeita"
"17","Cn",1,1,1,80,254.666666666667,0.57,0.43,0.163333333333333,0.53,0.303333333333333,77,135,42,1.52694333948738,0.216571775280433,"H0"
"18","Cnn",1,1,1,80,501.333333333333,0.596666666666667,0.403333333333333,0.17,0.46,0.373333333333333,187,231,85,0.764400418504377,0.381954921599874,"H0"
"19","Cn",1,1,1,90,231,0.553333333333333,0.446666666666667,0.196666666666667,0.5,0.306666666666667,71,116,45,0.00986280111828439,0.920890839606438,"H0"
"20","Cnn",1,1,1,90,498,0.61,0.39,0.143333333333333,0.48,0.373333333333333,186,239,71,0.115237806188977,0.734257994941833,"H0"
"21","Cn",1,1,1,100,233,0.52,0.48,0.266666666666667,0.423333333333333,0.31,72,99,62,4.71205526103763,0.0299518227610657,"Rejeita"
"22","Cnn",1,1,1,100,504.666666666667,0.606666666666667,0.393333333333333,0.153333333333333,0.466666666666667,0.376666666666667,190,236,77,0.0374191183026097,0.846614220051966,"H0"
