"","Tratamento","Fitnrr","FitnRr","FitnRR","Generation","Population_Size","Prop_R_Al","Prop_r_Al","Prop_rr_Geno","Prop_Rr_Geno","Prop_RR_Geno","RRN","RrN","rrN","Results$chisqvec","Results$pvalvec","Resultado"
"1","FitRRCn",1,1,0.5,0,493,0.466666666666667,0.533333333333333,0.25,0.486666666666667,0.263333333333333,130,240,123,0.264247664956223,0.607216855118094,"H0"
"2","FitRRCnn",1,1,0.5,0,503,0.5,0.5,0.22,0.55,0.23,116,277,111,4.67812156097478,0.0305491358589237,"Rejeita"
"3","FitRrCn",1,0.5,1,0,500,0.52,0.48,0.226666666666667,0.503333333333333,0.266666666666667,133,252,113,0.0571430424506147,0.811069828785864,"H0"
"4","FitRrCnn",1,0.5,1,0,503.333333333333,0.506666666666667,0.496666666666667,0.246666666666667,0.493333333333333,0.26,131,248,124,0.0585452847394997,0.808810127954737,"H0"
"5","FitrrCn",0.5,1,1,0,500,0.506666666666667,0.493333333333333,0.236666666666667,0.503333333333333,0.256666666666667,128,252,118,0.0449070013969102,0.83217512591488,"H0"
"6","FitrrCnn",0.5,1,1,0,504.666666666667,0.496666666666667,0.503333333333333,0.25,0.506666666666667,0.24,121,256,126,0.113834127387614,0.735820559241946,"H0"
"7","FitRRCn",1,1,0.5,20,283.666666666667,0.436666666666667,0.563333333333333,0.273333333333333,0.58,0.15,43,165,78,7.88553790043032,0.00498316551881038,"Rejeita"
"8","FitRRCnn",1,1,0.5,20,503,0.39,0.61,0.36,0.5,0.15,75,252,181,0.593226055327402,0.441174327585204,"H0"
"9","FitRrCn",1,0.5,1,20,213.333333333333,0.553333333333333,0.446666666666667,0.283333333333333,0.33,0.386666666666667,82,70,60,22.428923435502,2.18065281684281e-06,"Rejeita"
"10","FitRrCnn",1,0.5,1,20,499.666666666667,0.54,0.46,0.283333333333333,0.36,0.36,180,180,142,38.1645859843555,6.50218681911723e-10,"Rejeita"
"11","FitrrCn",0.5,1,1,20,242.333333333333,0.58,0.42,0.14,0.563333333333333,0.296666666666667,72,137,34,5.42914087354972,0.0198034193640505,"Rejeita"
"12","FitrrCnn",0.5,1,1,20,503,0.566666666666667,0.433333333333333,0.156666666666667,0.553333333333333,0.29,146,278,79,7.5215773939261,0.00609642729376754,"Rejeita"
"13","FitRRCn",1,1,0.5,40,193.666666666667,0.293333333333333,0.706666666666667,0.463333333333333,0.483333333333333,0.0533333333333333,10,94,90,4.83152981771331,0.0279438247487228,"Rejeita"
"14","FitRRCnn",1,1,0.5,40,500,0.42,0.58,0.32,0.54,0.14,70,270,160,6.38839730116459,0.0114868695783392,"Rejeita"
"15","FitRrCn",1,0.5,1,40,163,0.67,0.33,0.233333333333333,0.203333333333333,0.563333333333333,92,33,38,46.5622529341272,8.87535442710156e-12,"Rejeita"
"16","FitRrCnn",1,0.5,1,40,503,0.52,0.48,0.326666666666667,0.306666666666667,0.366666666666667,184,154,164,73.4402411807596,1.03729586555121e-17,"Rejeita"
"17","FitrrCn",0.5,1,1,40,230.666666666667,0.686666666666667,0.313333333333333,0.07,0.49,0.44,101,113,16,3.89700260251192,0.0483723373679508,"Rejeita"
"18","FitrrCnn",0.5,1,1,40,502.333333333333,0.626666666666667,0.373333333333333,0.0866666666666667,0.576666666666667,0.34,171,290,44,25.0729218316446,5.52026219522115e-07,"Rejeita"
"19","FitRRCn",1,1,0.5,60,169.666666666667,0.216666666666667,0.783333333333333,0.583333333333333,0.396666666666667,0.0166666666666667,3,67,99,4.12225440958247,0.0423226440027358,"Rejeita"
"20","FitRRCnn",1,1,0.5,60,497,0.37,0.63,0.36,0.55,0.09,45,273,179,16.3510824943049,5.26260951077622e-05,"Rejeita"
"21","FitRrCn",1,0.5,1,60,127.666666666667,0.68,0.32,0.246666666666667,0.14,0.61,78,18,31,54.8623423462479,1.29274379889936e-13,"Rejeita"
"22","FitRrCnn",1,0.5,1,60,502,0.453333333333333,0.546666666666667,0.416666666666667,0.256666666666667,0.326666666666667,164,129,209,115.118414792642,7.4135724612535e-27,"Rejeita"
"23","FitrrCn",0.5,1,1,60,195.666666666667,0.77,0.23,0.0233333333333333,0.403333333333333,0.57,112,79,5,3.64792864368828,0.0561389892992633,"H0"
"24","FitrrCnn",0.5,1,1,60,502.333333333333,0.696666666666667,0.303333333333333,0.0566666666666667,0.49,0.453333333333333,228,246,28,13.054626762285,0.000302536117822392,"Rejeita"
"25","FitRRCn",1,1,0.5,80,227.666666666667,0.153333333333333,0.846666666666667,0.703333333333333,0.283333333333333,0.0166666666666667,4,65,160,0.46938016354851,0.493272460556943,"H0"
"26","FitRRCnn",1,1,0.5,80,496,0.35,0.65,0.36,0.59,0.05,25,293,179,44.9870395363994,1.98342838679962e-11,"Rejeita"
"27","FitRrCn",1,0.5,1,80,110,0.67,0.326666666666667,0.313333333333333,0.0366666666666667,0.65,72,4,34,89.3638903543183,3.28477744900494e-21,"Rejeita"
"28","FitRrCnn",1,0.5,1,80,502.333333333333,0.413333333333333,0.586666666666667,0.473333333333333,0.223333333333333,0.3,151,112,238,143.86830968365,3.7964967239853e-33,"Rejeita"
"29","FitrrCn",0.5,1,1,80,160.333333333333,0.75,0.25,0.03,0.46,0.513333333333333,82,74,5,5.15392431482397,0.0231938979789322,"Rejeita"
"30","FitrrCnn",0.5,1,1,80,502.333333333333,0.713333333333333,0.286666666666667,0.05,0.473333333333333,0.476666666666667,239,238,25,12.0485536150622,0.000518325814353088,"Rejeita"
"31","FitRRCn",1,1,0.5,100,227,0.153333333333333,0.846666666666667,0.71,0.28,0.0166666666666667,4,64,161,0.376715883125871,0.539366101892107,"H0"
"32","FitRRCnn",1,1,0.5,100,507,0.29,0.71,0.45,0.51,0.04,20,259,228,25.5995347529254,4.20140685335836e-07,"Rejeita"
"33","FitRrCn",1,0.5,1,100,217.333333333333,0.67,0.33,0.333333333333333,0.00333333333333333,0.663333333333333,144,1,72,209.085312385711,2.17483715160051e-47,"Rejeita"
"34","FitRrCnn",1,0.5,1,100,501.333333333333,0.39,0.61,0.523333333333333,0.173333333333333,0.303333333333333,152,87,262,200.053640757562,2.03294809995623e-45,"Rejeita"
"35","FitrrCn",0.5,1,1,100,177.333333333333,0.8,0.2,0.03,0.353333333333333,0.623333333333333,111,63,5,0.871311591406708,0.350592460472971,"H0"
"36","FitrrCnn",0.5,1,1,100,503,0.736666666666667,0.263333333333333,0.0366666666666667,0.453333333333333,0.51,257,228,18,13.9907493526556,0.000183712273411545,"Rejeita"
